,Id,Area,Continent,Country,Location,OPEC NON-OPEC,OPEC_OECD_BRIC,Province,Region,US State
15,27330,"Dan Area, DK",Europe,Denmark,"05/98 (Hejre), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
16,27333,"Dan Area, DK",Europe,Denmark,"02/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
17,27334,"Dan Area, DK",Europe,Denmark,"07/89 (Arne South), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
18,27339,"Denmark, DK",Europe,Denmark,"01/5, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
19,27343,"East of 6.25 E. L. Area, DK",Europe,Denmark,"02/5, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
20,27345,"Dan Area, DK",Europe,Denmark,"05/99, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
21,27347,"Arne South Area, DK",Europe,Denmark,"06/95 (Siri), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
22,27354,"Arne South Area, DK",Europe,Denmark,"01/4, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
23,27317,"Siri Area, DK",Europe,Denmark,"01/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
24,27338,"Dan Area, DK",Europe,Denmark,"12/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
25,27341,"Dan Area, DK",Europe,Denmark,"Tyra South East, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
26,27344,"North Sea, DK",Europe,Denmark,"North Sea, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
27,27350,"Arne South Area, DK",Europe,Denmark,"07/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
28,27351,"Arne South Area, DK",Europe,Denmark,"06/95 (Sofie), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
29,38389,"Denmark, DK",Europe,Denmark,"03/07, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
30,38390,"Denmark, DK",Europe,Denmark,"01/09, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
31,38391,"Denmark, DK",Europe,Denmark,"02/09, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
32,38393,"Denmark, DK",Europe,Denmark,"01/08, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
33,38394,"Siri Area, DK",Europe,Denmark,"03/09, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
34,39816,"North Sea, DK",Europe,Denmark,"01/10, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
35,39817,"Denmark, DK",Europe,Denmark,"02/10, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
36,40105,"East of 6.25 E. L. Area, DK",Europe,Denmark,"01/11, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
37,50449,"Siri Area, DK",Europe,Denmark,"4/06b (Southwestern), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
38,51833,"Dan Area, DK",Europe,Denmark,"Svend (5504/25), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
39,55135,"North Sea, DK",Europe,Denmark,"08/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
40,55140,"North Sea, DK",Europe,Denmark,"07/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
41,55142,"North Sea, DK",Europe,Denmark,"15/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
42,55144,"North Sea, DK",Europe,Denmark,"14/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
43,55145,"North Sea, DK",Europe,Denmark,"09/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
44,55153,"North Sea, DK",Europe,Denmark,"01/89, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
45,55155,"North Sea, DK",Europe,Denmark,"01/92, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
46,55157,"North Sea, DK",Europe,Denmark,"02/95, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
47,55164,"North Sea, DK",Europe,Denmark,"09/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
48,60744,"North Sea, DK",Europe,Denmark,"8/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
49,60746,"North Sea, DK",Europe,Denmark,"10/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
50,55152,"North Sea, DK",Europe,Denmark,"03/89, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
51,60740,"North Sea, DK",Europe,Denmark,"3/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
52,60741,"North Sea, DK",Europe,Denmark,"4/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
53,27324,"Siri Area, DK",Europe,Denmark,"14/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
54,27328,"Dan Area, DK",Europe,Denmark,"04/98 (Svane 1A), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
55,27332,"Siri Area, DK",Europe,Denmark,"13/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
56,27336,"Denmark, DK",Europe,Denmark,"01/1 (Logumkloster), DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
57,27337,"Dan Area, DK",Europe,Denmark,"Contiguous Area (Dan), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
58,27340,"Dan Area, DK",Europe,Denmark,"10/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
59,27353,"Arne South Area, DK",Europe,Denmark,"04/95 (Nini), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
60,27356,"Arne South Area, DK",Europe,Denmark,"08/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
61,27361,"Dan Area, DK",Europe,Denmark,"01/2, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
62,27331,"Siri Area, DK",Europe,Denmark,"03/6, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
63,27357,"Arne South Area, DK",Europe,Denmark,"02/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
64,27363,"Dan Area, DK",Europe,Denmark,"01/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
65,34624,"Denmark, DK",Europe,Denmark,"Denmark, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
66,34797,"Denmark, DK",Europe,Denmark,"01/7, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
67,38392,"Denmark, DK",Europe,Denmark,"02/07, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
68,51827,"Arne South Area, DK",Europe,Denmark,"01/12, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
69,51829,"Dan Area, DK",Europe,Denmark,"8/06 Area B, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
70,51830,"Dan Area, DK",Europe,Denmark,"Elly (5504/5, 6), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
71,51831,"Dan Area, DK",Europe,Denmark,"Gert (5603/27, 28), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
72,51832,"Dan Area, DK",Europe,Denmark,"Rolf (5504/10, 14), DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
73,55133,"North Sea, DK",Europe,Denmark,"01/62, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
74,55137,"North Sea, DK",Europe,Denmark,"03/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
75,55138,"North Sea, DK",Europe,Denmark,"04/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
76,55139,"North Sea, DK",Europe,Denmark,"11/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
77,55141,"North Sea, DK",Europe,Denmark,"13/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
78,55143,"North Sea, DK",Europe,Denmark,"08/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
79,55147,"North Sea, DK",Europe,Denmark,"05/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
80,55151,"North Sea, DK",Europe,Denmark,"08/89, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
81,55154,"North Sea, DK",Europe,Denmark,"09/89, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
82,55156,"North Sea, DK",Europe,Denmark,"01/95, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
83,55158,"North Sea, DK",Europe,Denmark,"03/95, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
84,55159,"North Sea, DK",Europe,Denmark,"02/90, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
85,55161,"North Sea, DK",Europe,Denmark,"04/97, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
86,55162,"North Sea, DK",Europe,Denmark,"11/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
87,55163,"North Sea, DK",Europe,Denmark,"08/06, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
88,60745,"North Sea, DK",Europe,Denmark,"9/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
89,60747,"North Sea, DK",Europe,Denmark,"11/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
90,60749,"North Sea, DK",Europe,Denmark,"13/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
91,60750,"North Sea, DK",Europe,Denmark,"15/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
92,55160,"North Sea, DK",Europe,Denmark,"10/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
93,60677,"Dan Area, DK",Europe,Denmark,"7/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
94,60751,"North Sea, DK",Europe,Denmark,"16/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
95,55150,"North Sea, DK",Europe,Denmark,"01/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
96,27362,"Siri Area, DK",Europe,Denmark,"12/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
97,27346,"Arne South Area, DK",Europe,Denmark,"17/98, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
98,55132,"North Sea, DK",Europe,Denmark,"01/35, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
99,55136,"North Sea, DK",Europe,Denmark,"06/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
100,55146,"North Sea, DK",Europe,Denmark,"04/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
101,55148,"North Sea, DK",Europe,Denmark,"02/86, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
102,55608,"Denmark, DK",Europe,Denmark,"01/14, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
103,60678,"Dan Area, DK",Europe,Denmark,"14/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
104,60738,"North Sea, DK",Europe,Denmark,"1/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
105,60739,"North Sea, DK",Europe,Denmark,"2/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
106,60742,"North Sea, DK",Europe,Denmark,"5/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
107,60748,"North Sea, DK",Europe,Denmark,"12/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
108,55134,"Denmark, DK",Europe,Denmark,"Gas Storage Investigation, DK",Non-OPEC,OECD,"Denmark, DK",Western Europe,Not US
109,55149,"North Sea, DK",Europe,Denmark,"02/84, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
110,60743,"North Sea, DK",Europe,Denmark,"6/16, DK",Non-OPEC,OECD,"North Sea, DK",Western Europe,Not US
